Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,391.8934294,383.2953743,315.2183091,407.4501585,276.1591189,362.4709683,382.2854633,356.5782436,375.0240904,399.0492558,369.7008681,373.5536136,411.9590753,509.4610887,570.6855013,587.0802124,609.0186087,685.5516751,794.8701761,768.0134764,732.9536227,799.0355591,811.2162408,887.0899667,915.9266408,762.0512054,
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,351.9793628,346.4104428,240.9634032,244.1271502,193.0702756,235.832244,249.3587559,229.4880613,255.709631,265.1550248,226.4759423,235.4817514,260.9837492,323.9625643,371.4970215,406.673556,422.4223375,474.08854,567.7341867,537.2634287,575.0118818,667.1734195,673.0625112,698.3350349,696.8562068,589.7744141,
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,298.144992,285.296976,285.6978098,292.3645263,291.3258679,320.3619277,383.8299551,390.4079054,396.1696495,398.2295463,406.5317405,403.5945462,401.7081533,434.0465632,462.2748798,485.8528881,495.8537802,543.0822631,618.0758836,683.6144223,760.3319352,838.5478017,858.9333626,954.3963997,1086.800087,1211.701531,
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,1554.046931,1208.850233,1346.91277,1771.993943,1643.609895,1609.280586,1764.907387,2087.534843,2710.468024,3381.507837,3893.68998,4513.13628,5932.899677,7296.122479,6955.987733,6843.263289,7813.803499,7378.025539,7674.860559,7853.335191,6993.47736,
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,8528.759767,9057.563375,9088.63129,9707.566955,10138.47459,10376.36425,10523.08152,10620.34343,10005.23675,10330.73654,13590.52105,12917.3955,13279.0458,14541.61605,16275.18042,18418.07267,19669.31955,21167.61871,23043.02532,19166.70824,20386.01756,22033.91062,23057.76758,24113.52484,24514.99913,22600.2141,
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,12350.88048,11914.81213,11682.12886,11402.65152,11812.12238,12239.82781,12717.06038,17288.05651,18456.99077,20505.94743,21241.16539,21497.30816,22505.40479,22008.4337,21995.51992,23405.87955,23721.15628,24306.14242,23657.36531,22043.01257,21920.51659,21514.89865,22554.51572,22554.45412,22497.44971,22817.23086,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,314.5596047,481.1650399,731.1209512,971.5460643,1090.257056,1238.173385,1451.664002,1512.993014,1746.486383,2192.647078,2619.753258,2928.26359,3351.9634,4107.996232,4974.662267,4586.206313,4475.08813,4860.781811,4494.64064,4748.040692,4852.318649,4249.330313,
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1210.6116,1276.288,1244.373185,1479.383142,1819.525644,2378.339207,3126.071767,3848.215966,4735.484827,6376.183153,5176.172649,5818.497411,6305.659171,6721.483351,7722.125798,8032.494891,5754.601939,
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2202.322556,2326.833728,2666.922772,2833.075677,2880.154008,2996.397406,3001.693234,2952.575494,2991.860011,3065.517898,3364.464523,3419.208672,3556.616082,3679.882136,3831.593484,3933.30443,4187.320426,4324.934389,4473.417909,4263.807112,4348.019539,4522.861862,4674.293447,4723.594355,4884.368562,4878.721267,
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,709.9486541,764.1413321,791.381317,788.3991365,806.2211259,887.4682897,958.4735178,1006.964099,1058.718354,1012.510021,1007.002869,958.2363141,913.5758534,917.3643105,978.3347576,1046.427843,1233.592974,1389.629295,1736.92741,1776.860912,1981.166313,2377.70694,2645.291999,2948.032472,3124.085434,3076.791811,
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3071.627953,3942.403941,2578.207009,2774.174127,3482.529816,4827.152443,5144.64366,5260.463813,5065.336705,3461.612858,3728.50801,3135.155229,2805.717257,3040.506496,3596.22458,4730.653468,5808.340547,7246.870105,8706.819142,8474.878523,11121.41809,13047.24267,12179.69062,12106.21004,11917.79043,8677.768107,
